Country,Total Cases,Total Death,Total Cured,Active,Serious,Total Cases per 1M,Deaths per 1M,Total Tests,Population
Guinea-Bissau,"1,389",12,153,"1,224",5,707,6,"1,500","1,965,014"
Lebanon,"1,388",30,832,526,8,203,4,"99,534","6,826,957"
Albania,"1,385",35,"1,001",349,8,481,12,"17,318","2,877,958"
Equatorial Guinea,"1,306",12,200,"1,094",,933,9,"8,268","1,399,786"
Mauritania,"1,283",71,142,"1,070",11,276,15,"7,654","4,641,629"
Madagascar,"1,203",10,312,881,8,44,0.4,"14,857","27,644,480"
Paraguay,"1,202",11,619,572,2,169,2,"41,702","7,127,448"
Zambia,"1,200",10,912,278,1,65,0.5,"28,236","18,349,636"
Hong Kong,"1,108",4,"1,055",49,4,148,0.5,"241,992","7,493,581"
Latvia,"1,094",26,818,250,3,580,14,"123,364","1,887,162"
Tunisia,"1,087",49,989,49,1,92,4,"56,210","11,811,553"
Sierra Leone,"1,062",50,637,375,,133,6,,"7,966,858"
Niger,974,65,876,33,,40,3,"6,240","24,144,135"
Cyprus,974,18,807,149,4,807,15,"134,706","1,206,871"
Burkina Faso,891,53,765,73,,43,3,,"20,865,254"
French Guiana,865,2,457,406,6,"2,901",7,277,"298,175"
Jordan,863,9,663,191,5,85,0.9,"240,436","10,197,375"
Andorra,852,51,759,42,7,"11,028",660,"3,750","77,259"
Uruguay,847,23,758,66,4,244,7,"50,473","3,473,086"
Chad,846,72,706,68,,52,4,,"16,394,263"
Georgia,831,13,694,124,6,208,3,"70,569","3,989,556"
Congo,728,24,221,483,,132,4,,"5,509,290"
Diamond Princess,712,13,651,48,4,,,,
San Marino,691,42,496,153,1,"20,367","1,238","5,150","33,927"
Uganda,679,,120,559,,15,,"108,904","45,641,795"
Malta,635,9,597,29,,"1,438",20,"77,884","441,481"
Sao Tome and Principe,632,12,146,474,,"2,887",55,"1,278","218,909"
Cabo Verde,616,5,294,317,,"1,109",9,"1,307","555,641"
Jamaica,605,10,407,188,2,204,3,"15,153","2,960,470"
Channel Islands,565,48,512,5,,"3,251",276,"10,255","173,772"
Yemen,560,129,23,408,,19,4,120,"29,784,357"
Togo,522,13,265,244,1,63,2,"23,988","8,266,284"
Tanzania,509,21,183,305,7,9,0.4,,"59,620,347"
Réunion,486,1,447,38,1,543,1,"17,200","894,958"
Palestine,485,3,410,72,,95,0.6,"44,876","5,093,823"
Rwanda,476,2,307,167,,37,0.2,"82,239","12,931,392"
Mozambique,472,2,138,332,,15,0.06,"15,544","31,197,059"
Malawi,455,4,55,396,4,24,0.2,"6,690","19,097,600"
Taiwan,443,7,431,5,,19,0.3,"73,751","23,814,505"
Eswatini,398,3,236,159,5,343,3,"6,551","1,159,478"
Liberia,397,31,200,166,,79,6,,"5,050,055"
Libya,378,5,59,314,,55,0.7,"11,070","6,865,799"
Mauritius,337,10,325,2,,265,8,"137,789","1,271,657"
Isle of Man,336,24,312,0,,"3,953",282,"5,350","85,009"
Vietnam,332,,320,12,1,3,,"275,000","97,289,213"
Montenegro,324,9,315,0,,516,14,"13,186","628,062"
Zimbabwe,320,4,49,267,,22,0.3,"52,905","14,850,093"
Benin,305,4,188,113,2,25,0.3,"45,100","12,102,356"
Myanmar,249,6,165,78,,5,0.1,"42,416","54,389,676"
Martinique,202,14,98,90,,538,37,,"375,280"
Mongolia,194,,89,105,15,59,,"17,038","3,275,116"
Faeroe Islands,187,,187,0,,"3,828",,"10,607","48,853"
Cayman Islands,180,1,107,72,,"2,741",15,"16,072","65,677"
Gibraltar,176,,169,7,,"5,224",,"9,508","33,692"
Guadeloupe,164,14,144,6,1,410,35,"4,975","400,120"
Comoros,162,2,97,63,,187,2,,"868,435"
Guyana,156,12,92,52,1,198,15,"1,876","786,346"
Syria,152,6,68,78,,9,0.3,,"17,473,199"
Suriname,144,2,9,133,2,246,3,"1,165","586,336"
Bermuda,141,9,125,7,2,"2,264",144,"8,359","62,289"
Brunei,141,2,138,1,1,322,5,"23,708","437,242"
Cambodia,126,,125,1,1,8,,"24,928","16,705,332"
Trinidad and Tobago,117,8,109,0,,84,6,"3,481","1,399,246"
Angola,113,4,40,69,1,3,0.1,"10,000","32,796,332"
Bahamas,103,11,67,25,1,262,28,"2,237","393,031"
Aruba,101,3,98,0,,946,28,"2,186","106,742"
Monaco,99,4,93,2,,"2,524",102,"16,200","39,227"
Barbados,96,7,83,6,1,334,24,"6,005","287,357"
